timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
119322,0.23,2.29,9.61,0.01,0.00,0.00,-5.06,-63.52,-50.75
119329,0.24,2.28,9.63,0.00,0.00,-0.00,-5.83,-61.39,-47.54
119336,0.24,2.29,9.61,0.00,0.00,0.00,-4.87,-63.18,-51.65
119343,0.25,2.30,9.62,0.00,0.00,0.00,-4.85,-63.50,-50.77
119350,0.24,2.26,9.60,-0.00,0.00,0.00,-5.12,-63.77,-50.56
119357,0.26,2.25,9.60,-0.00,0.00,0.00,-5.00,-63.99,-50.64
119364,0.26,2.24,9.59,-0.00,0.00,0.00,-4.95,-64.02,-50.44
119371,0.25,2.24,9.61,-0.00,0.00,0.00,-4.85,-63.59,-50.07
119378,0.24,2.23,9.60,0.00,0.00,0.00,-4.66,-62.60,-45.69
119385,0.23,2.24,9.60,-0.00,0.00,0.01,-5.22,-63.17,-50.47
119392,0.24,2.24,9.60,-0.00,0.00,0.01,-4.69,-63.97,-51.21
119399,0.24,2.23,9.60,-0.00,0.00,0.01,-4.97,-63.75,-51.45
119406,0.26,2.23,9.59,0.00,0.00,0.01,-4.79,-64.21,-51.15
119413,0.24,2.25,9.61,0.00,0.00,0.01,-4.88,-64.07,-51.55
119420,0.25,2.24,9.61,0.00,0.00,0.01,-5.03,-63.83,-48.04
119427,0.25,2.24,9.61,0.00,0.00,0.01,-5.45,-62.47,-49.11
119434,0.25,2.23,9.61,0.00,0.00,0.01,-4.94,-63.49,-52.09
119441,0.27,2.23,9.59,0.00,0.00,0.01,-4.97,-63.42,-51.86
119448,0.23,2.22,9.59,0.00,0.00,0.01,-5.28,-63.29,-51.10
119455,0.22,2.23,9.60,0.00,0.00,0.01,-5.06,-63.71,-51.17
119462,0.21,2.24,9.60,0.00,0.00,0.01,-4.85,-63.53,-51.13
119469,0.20,2.22,9.62,0.01,0.00,0.01,-5.06,-63.75,-51.01
119476,0.19,2.25,9.62,0.01,0.00,0.01,-5.38,-62.03,-46.77
119483,0.20,2.26,9.61,0.01,0.00,0.01,-5.55,-64.00,-51.21
119490,0.20,2.28,9.62,0.00,0.00,0.01,-4.68,-63.62,-50.96
119497,0.23,2.27,9.60,0.00,0.00,0.01,-4.81,-63.62,-51.01
119504,0.29,2.29,9.59,0.00,0.00,0.00,-4.91,-63.43,-51.51
119511,0.30,2.29,9.59,0.00,0.00,0.00,-4.90,-63.77,-50.76
